﻿Product Name,Portfolio,Statement URL
Access Pass Holder Information Distribution System (APHIDS),PPPT-HS,https://web.pilot.aphids.homeoffice.gov.uk/accessibility
Acquisition & Transformation,PPPT-HS,
ADM Portal,PPPT-HS,
Admin Learning Environment (ALE),PPPT,
Affids,PPPT-HS,
Affirm,PPPT-HS,
Affirm,PPPT-HS,
Assurance,PPPT-HS,
Assure Portal (ESN Coverage Data),PPPT-ESMCP,
Authentication Endpoint,PPPT-HS,
Biometric Recording System,PPPT,
Biometric Services Gateway (BSG),PPPT-HOB,https://lssiprod.service-now.com/ess?sys_kb_id=0ec40e401ba3dc1889f841d7bd4bcb59&id=kb_article_view
Bravo and Award e-Sourcing System,PPPT-ESMCP,
CD Feedback,PPPT-HS,
CDFB/RAA/Optica/CMS/Charter,PPPT-HS,
CED,PPPT-HOB,
ChangeScout,PPPT-ESMCP,
Child Abuse Image Database (CAID),PPPT,
Child Abuse Image Database (CAID) - Fast Forensic Triage,PPPT,
Collibra,PPPT,
Common Business Application,PPPT-HS,
Crime Overseas Protection Order (COPO),PPPT-HS,
Dawn Sturgess Inquiry,PPPT,https://www.dawnsturgess.independent-inquiry.uk/accessibility/
Detection Systems - Leidos,PPPT-HS,
Disaster Victim Identification,PPPT,
Dispatcher,PPPT-ESMCP,
DNA,PPPT-HOB,
Domestic Abuse Commissioner,PPPT,https://domesticabusecommissioner.uk/accessibility-statement/
Domestic Homicide Review Repository.,PPPT,
Ecosystem Header,PPPT-HS,
ESN Air ACS,PPPT-ESMCP,
ESN Air Network,PPPT-ESMCP,
ESN One Team App,PPPT-ESMCP,
Firearms Licensing,PPPT,https://www.firearms-licensing.homeoffice.gov.uk/accessibility
Football Banning Order Authority Database,PPPT,
Foreign Influence Registration Scheme,PPPT-HS,https://foreign-influence-registration-scheme.service.gov.uk/Accessibility
Future Architecture,PPPT-HS,
Geo Reference Repository,PPPT-HS,
Griffeye Analyze CS Web,PPPT,
Hemp Growing Licence,PPPT,https://eforms.homeoffice.gov.uk/outreach/accessibility.ofml?accessibility=Kc5M6ZRYw0
Hendon Virtual Estate (HVE),PPPT,
Home Office Geospatial and Analytics Platform,PPPT,
Hubstream,PPPT,
Huddle - ESMCP,PPPT-ESMCP,
Huddle - NAS,PPPT,
HVD,PPPT-HOB,
IAAM 4 Secure Gateway,PPPT-HS,
Immigration and Asylum Biometrics System (IABS),PPPT-HOB,
IABS Web,PPPT-HOB,https://lssiprod.service-now.com/ess?sys_kb_id=bf8bc357db5f901cabcb10935b961971&id=kb_article_view
IDENT1 - Administration Functional Interface,PPPT-HOB,
IDENT1 - Bureau Front End,PPPT-HOB,
IDENT1 - LIVESCAN,PPPT-HOB,
Identity Integrated Offender Management (IDIOM),PPPT,
I-Leap,PPPT-HS,
Incident and Response Information System,PPPT,
Internet Connection Records (ICR),PPPT-HS,
Investigatory Powers Commissioner's Office,PPPT,https://www.ipco.org.uk/accessibility/
Investigatory Powers Tribunal,PPPT,https://investigatorypowerstribunal.org.uk/accessibility/
Jalal Uddin Inquiry,PPPT,https://www.jalaluddin.public-inquiry.uk/accessibility/
Key Maker / FIRS,PPPT-HS,
KM Eurosa,PPPT-HS,
Knowledge Centre,PPPT-HS,
Kodiak Radio Client,PPPT-ESMCP,
Law Enforcement Cloud Platform (LECP),PPPT,
Law Enforcement Data Service (LEDS) Common Services,PPPT,
Law Enforcement Data Service (LEDS) Drivers,PPPT,
Law Enforcement Data Service (LEDS) Property,PPPT,
Law Enforcement Data Service (LEDS) Vehicles,PPPT,
Look Up Tools,PPPT-HS,
LUDUS,PPPT,
Manston Inquiry,PPPT,https://www.manston.independent-inquiry.uk/accessibility/
MATCHER,PPPT-HOB,
Minerva,PPPT,
Modern Slavery Statement Register,PPPT,https://modern-slavery-statement-registry.service.gov.uk/accessibility-statement
Multi-Agency Public Protection System (MAPPS),PPPT,
National ANPR Service (NAS),PPPT,
National ANPR Service Virtual Learning Environment,PPPT,
National Ballistics Intelligence Service (NaBIS),PPPT,
National Data Quality Improvement Service (NDQIS),PPPT,
National Drugs Control System,PPPT,https://www.gov.uk/government/publications/national-drugs-control-system-user-guide/accessibility-statement-for-the-national-drugs-control-system-nds-web
National Firearms Licencing Management System (NFLMS),PPPT,
National Mutual Aid Telephony,PPPT,
National Police Identity and Access Management Service,PPPT,
NSAP,PPPT,
OCDA CMS,PPPT-HS,https://portal-idsapp.cd.pnn.police.uk/selfservice/AEaccessibilityStatement
Optica,PPPT-HS,
Pentip - Back Office,PPPT,
Pentip - Penalty Notices Portal (PNP),PPPT,https://penaltynotice.homeoffice.gov.uk/Portal/Accessibility
Police National Computer (PNC),PPPT,
Police National Database (PND) 1.5,PPPT,
Police National Database (PND) 2,PPPT,
Police Recruitment Campaign website,PPPT,https://www.joiningthepolice.co.uk/accessibility-statement
Police UK,PPPT,https://www.police.uk/pu/accessibility/
Port Reconfiguration,PPPT-HS,
Prevent eLearning 1,PPPT,https://www.support-people-susceptible-to-radicalisation.service.gov.uk/accessibility-statement
Prevent eLearning 2,PPPT,https://www.support-people-susceptible-to-radicalisation.service.gov.uk/accessibility-statement
PRÚM,PPPT-HS,
Report Modern Slavery,PPPT,https://www.modernslavery.gov.uk/accessibility
Report Online Terrorist Material,PPPT,https://www.report-terrorist-material.homeoffice.gov.uk/accessibility
Request Application Authorisation,PPPT-HS,
RFT,PPPT-ESMCP,
Self Service Portal,PPPT-ESMCP,
SFM,PPPT-HOB,
Southport Inquiry,PPPT,
The Angiolini Inquiry,PPPT,https://www.angiolini.independent-inquiry.uk/accessibility/
UK Central Authority (UKCA),PPPT-HS,
Undercover Policing Inquiry Website,PPPT,https://www.ucpi.org.uk/accessibility-statement/
User and Organisation Search and Authentication,PPPT-HS,
Violent and Sexual Offenders Registeer (VISOR),PPPT,
Wilberforce (iCasework),PPPT,
Windrush Service,PPPT,
